>>> Updated on: 2019-02-21T12:02:02Z <<<
tld,u-label,registry-operator,date-of-contract-signature,application-id,delegation-date
aaa,,"American Automobile Association, Inc.",2015-02-26,1-1386-27446,2015-08-28
aarp,,"AARP",2015-05-21,1-1169-4534,2015-11-03
abarth,,"Fiat Chrysler Automobiles N.V.",2015-07-30,1-2072-28769,2016-08-04
abb,,"ABB Ltd",2014-10-24,1-1673-93106,2015-04-25
abbott,,"Abbott Laboratories, Inc.",2014-07-24,1-1765-99580,2015-03-07
abbvie,,"AbbVie Inc.",2015-07-30,1-1766-21421,2016-04-06
abc,,"Disney Enterprises, Inc.",2015-07-30,1-1146-98846,2016-07-28
able,,"Able Inc.",2015-06-25,1-901-17807,2016-06-21
abogado,,"Minds + Machines Group Limited",2014-04-24,1-927-56004,2014-10-15
abudhabi,,"Abu Dhabi Systems and Information Centre",2015-07-30,1-1924-90958,2016-04-06
academy,,"Binky Moon, LLC",2013-11-07,1-1336-51768,2013-12-17
accenture,,"Accenture plc",2014-08-15,1-2024-58277,2015-05-09
accountant,,"dot Accountant Limited",2014-11-20,1-1240-93305,2015-03-25
accountants,,"Binky Moon, LLC",2014-03-20,1-1340-40734,2014-05-07
aco,,"ACO Severin Ahlmann GmbH & Co. KG",2015-01-08,1-1026-17004,2015-08-27
actor,,"Dog Beach, LLC",2013-12-12,1-1255-99377,2014-02-26
adac,,"Allgemeiner Deutscher Automobil-Club e.V. (ADAC)",2015-07-16,1-1031-24651,2016-01-26
ads,,"Charleston Road Registry Inc.",2014-12-04,1-1680-21285,2015-03-24
adult,,"ICM Registry AD LLC",2014-10-16,1-1107-2377,2014-12-06
aeg,,"Aktiebolaget Electrolux",2015-03-19,1-1955-15449,2015-06-20
aetna,,"Aetna Life Insurance Company",2015-05-21,1-1850-74225,2016-05-20
afamilycompany,,"Johnson Shareholdings, Inc.",2015-07-23,1-1248-76254,2016-07-31
afl,,"Australian Football League",2014-10-02,1-1816-41150,2015-03-28
africa,,"ZA Central Registry NPC trading as Registry.Africa",2014-03-24,1-1243-89583,2017-02-15
agakhan,,"Fondation Aga Khan (Aga Khan Foundation)",2015-04-23,1-1013-32567,2016-04-16
agency,,"Binky Moon, LLC",2013-11-14,1-1339-13106,2014-01-14
aig,,"American International Group, Inc.",2014-12-18,1-1700-54316,2015-05-02
aigo,,"aigo Digital Technology Co,Ltd.",2015-08-06,1-942-46156,2016-08-16
airbus,,"Airbus S.A.S.",2015-07-30,1-1671-14472,2016-06-10
airforce,,"Dog Beach, LLC",2014-03-06,1-1255-29190,2014-04-30
airtel,,"Bharti Airtel Limited",2014-10-24,1-1285-61415,2015-07-08
akdn,,"Fondation Aga Khan (Aga Khan Foundation)",2015-04-23,1-1013-36598,2016-04-16
alfaromeo,,"Fiat Chrysler Automobiles N.V.",2015-07-31,1-2068-239,2016-08-02
alibaba,,"Alibaba Group Holding Limited",2015-01-15,1-1092-9273,2016-01-16
alipay,,"Alibaba Group Holding Limited",2015-01-15,1-1093-81854,2016-01-16
allfinanz,,"Allfinanz Deutsche Vermögensberatung Aktiengesellschaft",2014-07-03,1-903-89627,2014-10-01
allstate,,"Allstate Fire and Casualty Insurance Company",2015-07-31,1-1191-71962,2016-07-14
ally,,"Ally Financial Inc.",2015-06-18,1-1963-65104,2016-03-24
alsace,,"Region Grand Est",2014-07-02,1-1825-82923,2014-10-04
alstom,,"ALSTOM",2015-07-30,1-1135-17943,2016-06-10
americanexpress,,"American Express Travel Related Services Company, Inc.",2015-07-31,1-1305-84307,2016-08-08
americanfamily,,"AmFam, Inc.",2015-07-23,1-1268-37828,2016-07-26
amex,,"American Express Travel Related Services Company, Inc.",2015-07-31,1-1305-26511,2016-08-08
amfam,,"AmFam, Inc.",2015-07-23,1-1268-70134,2016-07-23
amica,,"Amica Mutual Insurance Company",2015-05-28,1-1292-16149,2015-08-29
amsterdam,,"Gemeente Amsterdam",2014-07-24,1-1322-54903,2014-12-25
analytics,,"Campus IP LLC",2014-12-18,1-1323-15308,2015-12-21
android,,"Charleston Road Registry Inc.",2014-08-07,1-1681-35565,2014-11-12
anquan,,"QIHOO 360 TECHNOLOGY CO. LTD.",2015-01-08,1-974-71991,2016-03-30
anz,,"Australia and New Zealand Banking Group Limited",2015-07-31,1-1814-82061,2016-06-21
aol,,"Oath Inc.",2015-09-17,1-1304-6257,2016-11-04
apartments,,"Binky Moon, LLC",2014-12-11,1-1341-21066,2015-02-10
app,,"Charleston Road Registry Inc.",2015-05-14,1-1138-33325,2015-07-02
apple,,"Apple Inc.",2015-05-14,1-1772-3875,2015-11-03
aquarelle,,"Aquarelle.com",2014-07-24,1-1685-37800,2014-12-02
arab,,"League of Arab States",2015-11-12,1-1346-3935,2017-05-23
aramco,,"Aramco Services Company",2014-11-20,1-2034-17082,2015-10-15
archi,,"Afilias plc",2014-02-06,1-1000-49620,2014-03-31
army,,"Dog Beach, LLC",2014-03-06,1-1255-29986,2014-06-04
art,,"UK Creative Ideas Limited",2016-03-24,1-1211-27884,2016-06-23
arte,,"Association Relative à la Télévision Européenne G.E.I.E.",2014-12-11,1-1882-68650,2015-10-20
asda,,"Wal-Mart Stores, Inc.",2015-07-31,1-1244-58324,2016-08-14
associates,,"Binky Moon, LLC",2014-03-06,1-1345-27582,2014-04-11
athleta,,"The Gap, Inc.",2015-07-30,1-925-78912,2016-08-04
attorney,,"Dog Beach, LLC",2014-03-20,1-1348-99321,2014-05-31
auction,,"Dog Beach, LLC",2014-03-20,1-1347-98883,2014-07-18
audi,,"AUDI Aktiengesellschaft",2015-05-21,1-1079-59916,2015-11-25
audible,,"Amazon Registry Services, Inc.",2015-06-25,1-1315-37509,2016-06-07
audio,,"Uniregistry, Corp.",2014-03-20,1-845-89968,2014-05-15
auspost,,"Australian Postal Corporation",2015-08-13,1-2096-81155,2016-08-17
author,,"Amazon Registry Services, Inc.",2014-12-18,1-1315-99563,2015-12-05
auto,,"Cars Registry Limited ",2014-11-13,1-855-72019,2015-05-02
autos,,"DERAutos, LLC",2014-01-09,1-909-92065,2014-05-22
avianca,,"Aerovias del Continente Americano S.A. Avianca",2015-01-08,1-1013-56131,2016-03-09
aws,,"Amazon Registry Services, Inc.",2015-06-25,1-1315-68636,2016-03-25
axa,,"AXA SA",2013-12-19,1-1746-50891,2014-03-19
azure,,"Microsoft Corporation",2014-12-18,1-1129-27259,2015-06-06
baby,,"XYZ.COM LLC",2015-04-09,1-1156-50969,2016-04-08
baidu,,"Baidu, Inc.",2015-01-08,1-2088-98525,2016-01-05
banamex,,"Citigroup Inc.",2015-07-30,1-2087-76555,2016-07-28
bananarepublic,,"The Gap, Inc.",2015-07-31,1-925-89514,2016-08-04
band,,"Dog Beach, LLC",2014-06-12,1-1350-42613,2014-10-15
bank,,"fTLD Registry Services LLC",2014-09-25,1-1035-13873,2015-01-09
bar,,"Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable",2013-12-12,1-1870-98363,2014-02-27
barcelona,,"Municipi de Barcelona",2014-07-24,1-1820-71568,2015-07-08
barclaycard,,"Barclays Bank PLC",2014-11-20,1-1291-89293,2015-01-24
barclays,,"Barclays Bank PLC",2014-11-20,1-1291-38102,2015-01-24
barefoot,,"Gallo Vineyards, Inc.",2015-06-11,1-1856-86918,2016-03-24
bargains,,"Binky Moon, LLC",2013-11-14,1-1354-34421,2014-01-23
baseball,,"MLB Advanced Media DH, LLC",2015-10-29,1-1246-9615,2016-10-30
basketball,,"Fédération Internationale de Basketball (FIBA)",2015-08-20,1-994-9184,2016-10-19
bauhaus,,"Werkhaus GmbH",2014-04-17,1-1947-29466,2015-04-05
bayern,,"Bayern Connect GmbH",2014-01-23,1-994-73142,2014-05-03
bbc,,"British Broadcasting Corporation",2014-12-18,1-981-86291,2015-03-21
bbt,,"BB&T Corporation",2015-07-23,1-1860-74210,2016-07-15
bbva,,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",2014-10-02,1-1111-84953,2015-05-27
bcg,,"The Boston Consulting Group, Inc.",2015-04-02,1-1969-69205,2016-03-09
bcn,,"Municipi de Barcelona",2014-07-24,1-1820-23404,2015-07-08
beats,,"Beats Electronics, LLC",2015-05-14,1-2048-47049,2015-11-03
beauty,,"L'Oréal",2015-12-03,1-1302-76087,2016-07-15
beer,,"Minds + Machines Group Limited",2014-01-09,1-927-52478,2014-05-15
bentley,,"Bentley Motors Limited",2014-12-18,1-1096-37266,2015-07-09
berlin,,"dotBERLIN GmbH & Co. KG",2013-10-31,1-902-9993,2014-01-08
best,,"BestTLD Pty Ltd",2013-12-19,1-1705-80521,2014-02-27
bestbuy,,"BBY Solutions, Inc.",2015-07-31,1-1908-53104,2016-07-19
bet,,"Afilias plc",2015-05-07,1-868-21199,2015-07-24
bharti,,"Bharti Enterprises (Holding) Private Limited",2014-01-09,1-1287-43279,2015-06-14
bible,,"American Bible Society",2014-06-19,1-994-57975,2015-06-02
bid,,"dot Bid Limited",2013-12-19,1-1227-16477,2014-03-02
bike,,"Binky Moon, LLC",2013-08-27,1-1357-41903,2013-11-14
bing,,"Microsoft Corporation",2014-12-18,1-1129-41416,2015-06-10
bingo,,"Binky Moon, LLC",2014-12-04,1-1360-70873,2015-02-04
bio,,"Afilias plc",2014-03-06,1-1000-94806,2014-06-02
black,,"Afilias plc",2014-01-16,1-868-74058,2014-03-27
blackfriday,,"Uniregistry, Corp.",2014-01-16,1-855-24025,2014-04-22
blockbuster,,"Dish DBS Corporation",2015-07-30,1-1921-69359,2016-08-04
blog,,"Knock Knock WHOIS There, LLC",2015-05-14,1-917-1259,2016-05-18
bloomberg,,"Bloomberg IP Holdings LLC",2014-07-17,1-1981-76785,2014-11-05
blue,,"Afilias plc",2013-11-07,1-868-24255,2014-02-05
bms,,"Bristol-Myers Squibb Company",2014-10-30,1-1799-64357,2015-09-22
bmw,,"Bayerische Motoren Werke Aktiengesellschaft",2014-01-09,1-938-21301,2014-06-21
bnl,,"Banca Nazionale del Lavoro",2014-07-24,1-1257-44806,2015-06-26
bnpparibas,,"BNP Paribas",2014-05-29,1-1283-71884,2014-08-14
boats,,"DERBoats, LLC",2014-12-04,1-909-78528,2015-02-25
boehringer,,"Boehringer Ingelheim International GmbH",2015-07-09,1-1967-32024,2015-11-25
bofa,,"Bank of America Corporation",2015-07-31,1-1953-47864,2016-08-02
bom,,"Núcleo de Informação e Coordenação do Ponto BR - NIC.br",2014-10-16,1-1119-71934,2015-09-26
bond,,"Bond University Limited",2014-06-05,1-2092-96476,2015-03-27
boo,,"Charleston Road Registry Inc.",2014-01-30,1-1681-73672,2014-08-30
book,,"Amazon Registry Services, Inc.",2015-08-27,1-1315-44051,2015-12-05
booking,,"Booking.com B.V.",2015-07-16,1-1016-80657,2016-07-23
bosch,,"Robert Bosch GMBH",2015-06-18,1-1945-29108,2015-12-24
bostik,,"Bostik SA",2015-05-28,1-1264-54834,2015-11-25
boston,,"Boston TLD Management, LLC",2015-12-10,1-1958-93212,2016-11-29
bot,,"Amazon Registry Services, Inc.",2014-12-18,1-1315-81832,2015-12-05
boutique,,"Binky Moon, LLC",2013-11-14,1-1363-29181,2014-01-23
box,,".BOX INC.",2015-11-12,1-1309-75738,2016-11-11
bradesco,,"Banco Bradesco S.A.",2014-12-18,1-898-653,2015-06-26
bridgestone,,"Bridgestone Corporation",2014-12-18,1-954-27550,2015-05-01
broadway,,"Celebrate Broadway, Inc.",2014-12-22,1-994-4128,2015-11-18
broker,,"Dotbroker Registry Limited",2014-12-11,1-1332-82635,2015-04-29
brother,,"Brother Industries, Ltd.",2015-01-29,1-944-92379,2015-05-12
brussels,,"DNS.be vzw",2014-02-06,1-1867-3276,2014-06-18
budapest,,"Minds + Machines Group Limited",2013-11-21,1-1037-50753,2014-09-23
bugatti,,"Bugatti International SA",2015-07-23,1-1004-9564,2015-11-25
build,,"Plan Bee LLC",2013-11-07,1-888-47096,2014-01-18
builders,,"Binky Moon, LLC",2013-11-07,1-1366-121,2013-12-28
business,,"Binky Moon, LLC",2013-11-07,1-1367-68057,2014-08-22
buy,,"Amazon Registry Services, Inc.",2014-12-18,1-1315-53217,2015-12-05
buzz,,"DOTSTRATEGY CO.",2013-10-02,1-1133-77383,2013-12-18
bzh,,"Association www.bzh",2014-02-27,1-989-18963,2014-06-17
cab,,"Binky Moon, LLC",2013-10-24,1-1371-6431,2013-12-17
cafe,,"Binky Moon, LLC",2015-02-11,1-1370-88467,2015-04-05
cal,,"Charleston Road Registry Inc.",2014-07-24,1-1680-27519,2014-09-15
call,,"Amazon Registry Services, Inc.",2014-12-18,1-1315-29734,2015-12-05
calvinklein,,"PVH gTLD Holdings LLC",2015-07-30,1-998-12980,2016-08-04
cam,,"AC Webconnecting Holding B.V.",2016-04-21,1-882-71415,2016-06-16
camera,,"Binky Moon, LLC",2013-08-27,1-1372-58656,2013-11-06
camp,,"Binky Moon, LLC",2013-11-07,1-1373-83008,2013-12-17
cancerresearch,,"Australian Cancer Research Foundation",2014-05-15,1-2027-17584,2014-07-03
canon,,"Canon Inc.",2014-09-12,1-919-80835,2015-02-04
capetown,,"ZA Central Registry NPC trading as ZA Central Registry",2014-03-24,1-1864-98622,2014-06-19
capital,,"Binky Moon, LLC",2014-03-06,1-1375-20218,2014-04-11
capitalone,,"Capital One Financial Corporation",2015-08-06,1-1267-72259,2016-08-10
car,,"Cars Registry Limited ",2015-01-22,1-1683-84431,2015-09-09
caravan,,"Caravan International, Inc.",2013-12-12,1-1847-21047,2014-08-15
cards,,"Binky Moon, LLC",2013-12-05,1-1376-34668,2014-02-11
care,,"Binky Moon, LLC",2014-03-06,1-1374-92093,2014-04-23
career,,"dotCareer LLC",2013-10-09,1-907-61259,2014-04-11
careers,,"Binky Moon, LLC",2013-10-02,1-1378-74207,2013-12-17
cars,,"Cars Registry Limited ",2014-11-13,1-845-37810,2015-05-02
cartier,,"Richemont DNS Inc.",2014-06-23,1-1253-32739,2014-12-11
casa,,"Minds + Machines Group Limited",2013-11-21,1-1038-47257,2014-09-23
case,,"CNH Industrial N.V.",2015-09-03,1-2050-40761,2016-10-30
caseih,,"CNH Industrial N.V.",2015-09-03,1-2051-20058,2016-10-30
cash,,"Binky Moon, LLC",2014-03-06,1-1381-76948,2014-04-23
casino,,"Binky Moon, LLC",2014-12-18,1-1382-33633,2015-02-19
catering,,"Binky Moon, LLC",2013-12-05,1-1380-59591,2014-02-04
catholic,,"Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication)",2015-10-21,1-1311-76497,2016-12-01
cba,,"COMMONWEALTH BANK OF AUSTRALIA",2014-06-26,1-1672-4934,2015-06-22
cbn,,"The Christian Broadcasting Network, Inc.",2014-08-22,1-1980-27252,2015-02-13
cbre,,"CBRE, Inc.",2015-07-02,1-2116-80094,2016-07-02
cbs,,"CBS Domains Inc.",2015-08-06,1-869-11721,2016-08-04
ceb,,"The Corporate Executive Board Company",2015-04-09,1-1773-64649,2015-08-08
center,,"Binky Moon, LLC",2013-11-07,1-1383-13918,2013-12-17
ceo,,"CEOTLD Pty Ltd",2013-11-07,1-1706-31908,2013-12-28
cern,,"European Organization for Nuclear Research (\"CERN\")",2014-06-05,1-1082-60500,2014-08-16
cfa,,"CFA Institute",2014-08-28,1-1877-69334,2015-05-02
cfd,,"DotCFD Registry Limited",2014-12-11,1-2041-62930,2015-03-13
chanel,,"Chanel International B.V.",2015-04-09,1-1757-70300,2015-08-05
channel,,"Charleston Road Registry Inc.",2014-05-08,1-1139-20196,2014-09-15
charity,,"Binky Moon, LLC",2018-04-11,1-1384-49318,2018-06-07
chase,,"JPMorgan Chase Bank, National Association",2015-04-30,1-1190-39893,2016-02-27
chat,,"Binky Moon, LLC",2014-12-04,1-1385-24288,2015-02-04
cheap,,"Binky Moon, LLC",2013-11-14,1-1388-22552,2014-01-14
chintai,,"CHINTAI Corporation",2015-06-11,1-901-295,2016-06-07
christmas,,"Uniregistry, Corp.",2013-11-21,1-855-47142,2014-02-26
chrome,,"Charleston Road Registry Inc.",2014-07-24,1-1683-38963,2014-09-15
chrysler,,"FCA US LLC.",2015-07-30,1-2057-24195,2016-07-28
church,,"Binky Moon, LLC",2014-02-06,1-1387-59691,2014-05-15
cipriani,,"Hotel Cipriani Srl",2015-02-19,1-1837-53838,2015-10-09
circle,,"Amazon Registry Services, Inc.",2014-12-18,1-1315-92803,2015-12-05
cisco,,"Cisco Technology, Inc.",2014-12-22,1-1788-37128,2015-05-15
citadel,,"Citadel Domain LLC",2015-07-23,1-1848-15726,2016-07-23
citi,,"Citigroup Inc.",2015-07-30,1-2086-70305,2016-07-28
citic,,"CITIC Group Corporation",2014-01-09,1-914-86033,2014-04-29
city,,"Binky Moon, LLC",2014-05-29,1-1389-12139,2014-07-10
cityeats,,"Lifestyle Domain Holdings, Inc.",2014-12-11,1-1326-83809,2015-11-10
claims,,"Binky Moon, LLC",2014-03-20,1-1390-429,2014-05-07
cleaning,,"Binky Moon, LLC",2013-12-05,1-1391-32771,2014-02-04
click,,"Uniregistry, Corp.",2014-06-05,1-845-44500,2014-08-16
clinic,,"Binky Moon, LLC",2014-03-20,1-1392-58392,2014-04-22
clinique,,"The Estée Lauder Companies Inc.",2015-10-01,1-1962-86087,2015-12-28
clothing,,"Binky Moon, LLC",2013-08-27,1-1394-96113,2013-11-06
cloud,,"Aruba PEC S.p.A.",2015-04-16,1-1669-75338,2015-06-26
club,,".CLUB DOMAINS, LLC",2013-11-08,1-864-71021,2014-01-18
clubmed,,"Club Méditerranée S.A.",2015-06-25,1-2079-28620,2015-10-02
coach,,"Binky Moon, LLC",2014-10-09,1-1397-64766,2014-11-26
codes,,"Binky Moon, LLC",2013-10-31,1-1398-14114,2013-12-28
coffee,,"Binky Moon, LLC",2013-10-17,1-1401-49222,2013-12-28
college,,"XYZ.COM LLC",2014-01-16,1-2137-73069,2014-04-10
cologne,,"dotKoeln GmbH",2014-02-05,1-860-75931,2014-03-19
comcast,,"Comcast IP Holdings I, LLC",2015-07-23,1-1170-7009,2016-07-07
commbank,,"COMMONWEALTH BANK OF AUSTRALIA",2014-06-26,1-1672-79914,2015-06-22
community,,"Binky Moon, LLC",2013-12-05,1-1402-32002,2014-01-25
company,,"Binky Moon, LLC",2013-11-07,1-1399-64977,2013-12-17
compare,,"iSelect Ltd",2015-10-08,1-1088-79872,2016-01-15
computer,,"Binky Moon, LLC",2013-10-24,1-1405-67595,2013-12-17
comsec,,"VeriSign, Inc.",2015-01-08,1-1145-38018,2015-11-16
condos,,"Binky Moon, LLC",2013-12-05,1-1404-98894,2014-02-11
